Security_ID,VaR_Contribution,Vol_Contribution,MV_Weight,Ticker,Asset Class,Asset Subclass,Currency,Country,Region,Industry,,
T10000876,0.070117777,0.065964781,0.02,SSDRF,Equity,ETF,USD,United States,North America,Technology,,
T10000872,0.100340796,0.095272323,0.025,CSTNL,Equity,ETF,USD,United States,North America,Technology,,
T10000874,0.054145898,0.053708558,0.02,MFMER,Equity,Stock,USD,United States,North America,Technology,,
T10000883,0.010917089,0.008093594,0.02,IMSCF,Fixed Income,Bond,EUR,Germany,Europe,Financials,,
T10000881,0.007416674,0.00504404,0.09,EUEIC,Fixed Income,Bond,EUR,Germany,Europe,Financials,,
T10000884,0.032282149,0.027936315,0.02,IHHSF,Fixed Income,Bond,EUR,Germany,Europe,Financials,,
T10000106,0.003059359,0.011477055,0.025,LOMIZ,Equity,Stock,USD,United States,North America,Health Care,,
T10000873,0.064935087,0.06765744,0.02,JPMMZ,Equity,Fund,USD,United States,North America,Health Care,,
T10000875,0.047870242,0.044881598,0.02,TIESI,Equity,Fund,USD,United States,North America,Health Care,,
T10000877,0.039213149,0.034900078,0.1,SCHHH,Commodity,Oil,JPY,Japan,Asia,Health Care,,
T10000878,0.056023579,0.048245243,0.1,AGACZ,Commodity,Gas,JPY,Japan,Asia,Consumer Staples,,
T10000879,0.118446833,0.11248128,0.19,NUHGZ,Commodity,Gold,JPY,Japan,Asia,Consumer Staples,,
T10000880,0.307873213,0.342417445,0.19,AEUUU,Fixed Income,ETF,GBP,United Kingdom,Europe,Energy,,
T10000882,0.020570415,0.01800751,0.02,MOTTZ,Fixed Income,ETF,GBP,United Kingdom,Europe,Energy,,
T10000912,0.015802688,0.018503712,0.015,CACCZ,Alternatives,Private Equity,GBP,United Kingdom,Europe,Energy,,
T10000913,0.008710977,0.005906016,0.015,LODEZ,Alternatives,Private Equity,GBP,United Kingdom,Europe,Materials,,
T10000916,0.01419388,0.013521912,0.02,PGLAZ,Alternatives,Private Credit,USD,United States,North America,Materials,,
T10000914,0.013854726,0.013322069,0.02,LODUT,Alternatives,Private Credit,USD,United States,North America,Utilities,,
T10000915,0.014225469,0.012659033,0.02,ISHVF,Alternatives,Private Credit,USD,United States,North America,Utilities,,
T10000885,0,0,0.05,USD.CCY,Cash,Money Market,USD,United States,North America,Cash,,
